location_name,sex_name,cause_name,measure_name,age_id,age_name,rate_1990,rate_2023,absolute_change,relative_change_pct
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),20,75-79 years,7116.05636958488,9149.59837198337,2033.5420023984898,28.576811323335782
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),20,75-79 years,2123.73566743418,2500.08792669807,376.3522592638901,17.72123833652919
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),20,75-79 years,4992.3207021507,6649.5104452853,1657.1897431346006,33.19477737919922
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,20,75-79 years,20221.9157191231,23683.624192839,3461.708473715902,17.118598068541523
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,20,75-79 years,411.13301916193,402.97968616831,-8.153332993619983,-1.9831374795048262
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,30,80-84 years,424.878509468348,546.443600337895,121.56509086954696,28.61172974403008
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),30,80-84 years,7307.91995914447,9173.84627809622,1865.9263189517496,25.532933165433725
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),30,80-84 years,1965.68425407821,2322.81550101455,357.1312469363402,18.16829158576201
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),30,80-84 years,5342.23570506625,6851.03077708166,1508.7950720154095,28.24276492676203
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,30,80-84 years,19023.9062838031,22324.9388956688,3301.032611865703,17.352023094626958
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,30,80-84 years,93.83111231927,86.88754470561,-6.943567613660008,-7.400069595289249
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,30,80-84 years,0.431888756290206,0.335513020707042,-0.096375735583164035,-22.314944341455544
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),30,80-84 years,8.04861925351437,7.12168686222458,-0.9269323912897907,-11.516663443671437
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),30,80-84 years,2.61684443435,2.91597835683,0.29913392248000026,11.431093058242968
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),30,80-84 years,5.43177481916703,4.20570850539547,-1.2260663137715602,-22.57211233140882
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,30,80-84 years,21.87229227714,25.27437971179,3.4020874346499994,15.55432504075358
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,30,80-84 years,0.34354581762,0.3524992052,0.008953387579999972,2.606169867538144
