location_name,measure_name,year,Diabetes mellitus,Diabetes mellitus type 1,Diabetes mellitus type 2,t1dm_share_pct,t2dm_share_pct,component_sum_difference_pct
Central Sub-Saharan Africa,Deaths,1990,6571.03747343825,565.034728023426,6006.00274541481,8.598866317646724,91.40113368235306,-2.0761440764475842e-13
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),1990,344341.530173757,41302.2148003097,303039.315373448,11.99454935902397,88.00545064097624,2.0284858774053344e-13
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),1990,127191.122954243,442.764089977074,126748.358864266,0.3481092702800952,99.65189072971997,6.864590023441448e-14
Central Sub-Saharan Africa,YLLs (Years of Life Lost),1990,217150.407219515,40859.4507103326,176290.956509182,18.81619805991348,81.18380194008634,-1.876365932772032e-13
Central Sub-Saharan Africa,Prevalence,1990,1501195.27910755,6186.39054320963,1495008.88856434,0.4120976550690591,99.58790234493094,-1.550968397611041e-14
Central Sub-Saharan Africa,Incidence,1990,84673.7902282928,329.805868203968,84343.9843600889,0.3895017186720514,99.61049828132802,8.592927746078676e-14
Central Sub-Saharan Africa,Deaths,2023,19897.966972544,934.397331750013,18963.569640794,4.695943726509001,95.30405627349107,7.313267354622791e-14
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),2023,1063183.14234547,65274.9539141846,997908.188431282,6.139577586809988,93.8604224131897,-3.065914875176786e-13
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),2023,448959.963566432,1515.44031104894,447444.523255383,0.33754464407263396,99.66245535592735,-1.2965000364638193e-14
Central Sub-Saharan Africa,YLLs (Years of Life Lost),2023,614223.178779035,63759.5136031356,550463.665175899,10.380512459636906,89.61948754036304,-5.68597828195026e-14
Central Sub-Saharan Africa,Prevalence,2023,5330110.66475027,21679.7269298532,5308430.93782043,0.40674065312054747,99.5932593468797,2.446199875519393e-13
Central Sub-Saharan Africa,Incidence,2023,288842.404575927,1202.22794023181,287640.176635695,0.41622279872544976,99.58377720127447,-8.060819324493134e-14
Eastern Sub-Saharan Africa,Deaths,1990,27726.366126011,2485.65923526255,25240.7068907484,8.964965780101535,91.0350342198983,-1.8369411652363382e-13
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),1990,1128874.96327365,186837.395424756,942037.567848892,16.55076084626255,83.44923915373727,-1.8562514548184406e-13
