location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Rate,5009.60579879929,6217.14684598012,4513.17507930877,5705.12671706215,5451.54382506249,6773.94071202919,1207.54104718083,24.104512324507766
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Rate,4411.64833613247,5461.86435405227,3974.42597772602,4994.6513148207,4863.98737385608,6008.01785610387,1050.2160179198,23.805524327908834
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Rate,5674.54793397136,7095.81811792263,5087.80690864766,6485.64176194164,6207.02930327656,7712.28154361524,1421.2701839512702,25.046403704560618
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Rate,14.49443880707,17.60945794042,10.0989195093,14.59876952172,19.23785634234,22.31307057274,3.1150191333499997,21.49113308085151
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Rate,14.52182124072,17.60221293593,10.08291658302,14.57613117266,19.36128773706,22.32566929287,3.080391695210002,21.212158200738696
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Rate,14.46609552197,17.61681674687,10.11688773484,14.60393855391,19.09216462099,22.29420238374,3.1507212249,21.780038850945814
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Rate,4995.11135999221,6199.5373880397,4497.11314718712,5687.65205604504,5439.24132397747,6755.99895682934,1204.42602804749,24.112095632025476
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Rate,4397.12651489174,5444.26214111634,3958.49755488766,4977.85817603418,4852.4075775121,5990.10627112462,1047.1356262246,23.814089102923642
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Rate,5660.08183844938,7078.20130117575,5073.41894519697,6466.00952717228,6190.35258148061,7695.81904917394,1418.1194627263703,25.05475191353195
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Rate,242.0733675879,284.66310088968,219.83270270647,262.25501773012,263.36316262779,313.5951126406,42.58973330177997,17.59372942433044
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Rate,207.23717621529,244.53690794191,187.66845689473,222.8002716537,226.75362298567,271.19466607055,37.299731726619996,17.998571688638943
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Rate,280.65681935075,328.18186223448,253.50767482077,301.45578622183,306.928563361,358.27691324933,47.52504288372995,16.93350726117069
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Rate,0.55131867318,0.7039682255,0.4511251348,0.44640651367,0.68863540999,1.36879649933,0.15264955232,27.688079462195446
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Rate,0.55213855448,0.70035974726,0.45120024584,0.44449764822,0.69000056364,1.33747941115,0.14822119278,26.844927161370503
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Rate,0.55051640353,0.70759655467,0.45060416866,0.44818907128,0.6872982723,1.37991456841,0.15708015114000007,28.533237181086115
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Rate,241.52204891472,283.95913266419,219.25161695704,261.53330632481,262.79155660641,312.93604860045,42.43708374947002,17.570687206472947
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Rate,206.68503766081,243.83654819464,187.16495412483,222.15416952419,226.28018556691,270.60521441816,37.15151053382999,17.974939528423526
