location_name,measure_name,cause_name,sex_name,model,rmse,mae,mape,mase,selected
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,0.39658508045722035,0.2077560749858341,0.6281901671968986,0.9354781441042771,TRUE
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,0.47906143425703335,0.19166456900970952,0.8219931279083961,1.2449962042743363,TRUE
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ETS,0.4805514919950318,0.2088608213824004,0.8963567257700585,1.3566979603284723,FALSE
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ARIMA,0.4075983213118405,0.28283129294659953,0.6068606833713651,0.7805620249171255,FALSE
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,0.38336411389801794,0.23707265734566288,0.5033670082250341,0.6542766592137778,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,0.2400697831061575,0.19524002882976793,0.07127567259271993,0.15283440071187818,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ETS,0.28798917265266866,0.2189201617932542,0.08063139971837287,0.17137127018451886,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,0.31776032496716045,0.24658134328738793,0.10410891112320113,0.20462798939257706,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ETS,0.35819974590135356,0.29896818594617597,0.12691093861901714,0.24810173376016798,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,0.280018569300171,0.1784823506116625,0.05606201839799342,0.1252931727356635,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ETS,0.44274438365521773,0.31006623633200997,0.09797791314569723,0.21766400081076187,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ARIMA,0.003487486758183595,0.002307800705371983,0.34350055913411187,0.39276874796832884,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,0.002830202746446326,0.0019258471301353743,0.2865814659298538,0.327763382826312,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,0.002810794472825538,0.001808108513935641,0.26941490327172807,0.30895862979201777,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ETS,0.0034547900594842896,0.0024130277903794814,0.36018583995557657,0.41232357130100966,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ARIMA,0.003391635361850851,0.0022100671405484587,0.32808452900351376,0.37451693831433835,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,0.0027919520236821165,0.0018589745526033973,0.27614624465033155,0.31502095346864223,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,0.2385496280868659,0.19198952838075312,0.07027195603525775,0.15092126145874812,TRUE
