location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,ETS,2030,20.197501015000906,16.72635144068056,23.668650589321253
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2024,53.836336578031144,52.08238528483084,55.590287871231446
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2025,52.951300677052835,50.470839063061135,55.431762291044535
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2026,52.066264776074526,49.028230886836205,55.10429866531285
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2027,51.18122887509622,47.673063331469265,54.68939441872317
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2028,50.29619297411791,46.37376813888795,54.21861780934787
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2029,49.4111570731396,45.114155409965335,53.70815873631386
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,2030,48.52612117216129,43.88460787810276,53.167634466219816
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2024,1332.7613954040935,1318.3978847511137,1347.1249060570733
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2025,1320.5095049877657,1298.9871790051466,1342.0318309703848
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2026,1308.2576145714377,1275.9895276599214,1340.525701482954
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2027,1296.0057241551096,1250.5655385285038,1341.4459097817155
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2028,1283.7538337387819,1223.2882095857144,1344.2194578918493
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2029,1271.5019433224538,1194.4633813604983,1348.5405052844094
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,2030,1259.2500529061258,1164.2817032441444,1354.2184025681072
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2024,1014.0404117578906,996.3083516800791,1031.7724718357022
