population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,166,Sub-Saharan Africa,2,Female,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,253659.635048682,276185.562369863,231087.700558764
1,All Population,1,Deaths,166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,67946.6124362124,87744.7766775078,50637.839920849
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,2903535.164924,3562373.78691741,2328462.94695493
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,821286.573170817,1120571.11014043,568272.565681416
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,2082248.59175318,2647966.48489415,1590961.52258719
1,All Population,5,Prevalence,166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,9489399.92330011,10390241.4914203,8575992.05830739
1,All Population,6,Incidence,166,Sub-Saharan Africa,3,Both,22,All ages,587,Diabetes mellitus,1,Number,1990,557276.430064818,603341.574799284,509484.74691273
1,All Population,1,Deaths,166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,5191.93221646394,7273.24181344564,3118.44899974442
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,402374.082464795,576628.753585382,233338.797625264
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,4732.41302455079,7822.05282980086,2817.99090703332
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,397641.669440245,570498.987193421,230545.003041925
1,All Population,5,Prevalence,166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,64371.799854326,84510.535184499,44674.34500183
1,All Population,6,Incidence,166,Sub-Saharan Africa,3,Both,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,3372.68081212325,4281.72520054861,2619.43597189846
1,All Population,1,Deaths,166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,62754.6802197485,82425.1011111868,46415.7158030704
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,2501161.0824592,3097351.52341214,1980285.39396865
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,816554.160146266,1113060.37543063,565165.796702625
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,1684606.92231294,2224616.60938701,1266609.75952758
1,All Population,5,Prevalence,166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,9425028.12344578,10331120.9900015,8503454.89860026
1,All Population,6,Incidence,166,Sub-Saharan Africa,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,553903.749252695,600311.394639766,506005.743962939
1,All Population,1,Deaths,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,38178.690792837,55007.842906322,25347.9975077702
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,1672129.5934284,2183895.39908268,1248688.10290032
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,445566.990332341,610344.926180821,306705.652562702
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,1226562.60309606,1735732.68426741,860137.643210585
1,All Population,5,Prevalence,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,5110950.69005802,5587009.33929962,4619262.3537685
1,All Population,6,Incidence,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1991,311597.986972848,338136.407836305,285740.852762661
1,All Population,1,Deaths,166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1991,3367.25208338,5132.86815621643,2039.58922087586
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1991,262112.299135269,402268.497083374,156541.972556416
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1991,2380.60167450703,3896.03615000393,1401.58361304974
